result_id,race_id,race_id,constructor_id,position,points,laps,time_in_miliseconds,fastestLap,rank,fastest_lap_time,fastest_lap_speed
101,22,10,7,13,0,57,\N,28,16,01:28.3,217.623
102,22,22,11,14,0,57,\N,56,14,01:28.0,218.33
103,22,12,4,15,0,57,\N,40,10,01:27.9,218.703
104,22,16,10,16,0,57,\N,35,18,01:28.8,216.454
105,22,20,5,17,0,57,\N,38,15,01:28.2,217.926
106,22,7,5,18,0,24,\N,19,17,01:28.7,216.539
107,22,6,3,19,0,1,\N,\N,\N,\N,\N
108,22,21,10,20,0,0,\N,\N,\N,\N,\N
109,23,1,1,1,10,76,7242742,71,6,01:18.5,153.152
110,23,9,2,2,8,76,7245806,75,5,01:17.9,154.286
111,23,13,6,3,6,76,7247553,76,4,01:17.9,154.379
112,23,17,9,4,5,76,7262037,74,8,01:19.0,152.133
113,23,20,5,5,4,76,7267399,74,7,01:18.8,152.614
114,23,22,11,6,3,76,7271150,75,9,01:19.6,151.104
115,23,6,3,7,2,76,7272922,75,13,01:19.9,150.469
116,23,5,1,8,1,76,7275933,74,2,01:17.3,155.586
117,23,8,6,9,0,76,7276534,74,1,01:16.7,156.789
118,23,4,4,10,0,75,\N,73,3,01:17.9,154.413
119,23,18,11,11,0,75,\N,74,10,01:19.6,151.089
120,23,10,7,12,0,75,\N,75,11,01:19.6,151.021
121,23,15,7,13,0,75,\N,75,12,01:19.8,150.62
122,23,2,2,14,0,72,\N,72,14,01:20.3,149.829
123,23,16,10,15,0,67,\N,60,16,01:22.0,146.564
124,23,3,3,16,0,59,\N,58,15,01:21.3,147.951
125,23,12,4,17,0,47,\N,40,17,01:31.2,131.86
126,23,21,10,18,0,36,\N,33,18,01:32.8,129.5
127,23,14,9,19,0,7,\N,7,20,01:42.1,117.753
128,23,7,5,20,0,7,\N,7,19,01:41.2,118.872
129,24,9,2,1,10,70,5784227,47,4,01:17.5,202.473
130,24,2,2,2,8,70,5800722,25,2,01:17.4,202.758
131,24,14,9,3,6,70,5807579,36,7,01:18.1,201.057
132,24,10,7,4,5,70,5826854,31,17,01:19.1,198.51
133,24,13,6,5,4,70,5828161,11,6,01:18.0,201.261
134,24,15,7,6,3,70,5832002,38,15,01:18.9,199.056
135,24,22,11,7,2,70,5837824,35,10,01:18.3,200.503
136,24,20,5,8,1,70,5838347,33,12,01:18.5,199.913
137,24,5,1,9,0,70,5838660,62,11,01:18.5,200.091
138,24,3,3,10,0,70,5838976,14,5,01:18.0,201.336
139,24,18,11,11,0,70,5851767,58,19,01:19.4,197.847
140,24,17,9,12,0,70,5855526,51,8,01:18.2,200.759
141,24,7,5,13,0,69,\N,34,13,01:18.6,199.689
142,24,21,10,14,0,51,\N,41,16,01:19.1,198.563
143,24,6,3,15,0,46,\N,30,14,01:18.8,199.273
144,24,4,4,16,0,44,\N,16,9,01:18.2,200.697
145,24,12,4,17,0,43,\N,16,18,01:19.2,198.129
146,24,8,6,18,0,19,\N,14,1,01:17.4,202.871
147,24,1,1,19,0,19,\N,4,3,01:17.5,202.559
148,24,16,10,20,0,13,\N,7,20,01:20.7,194.624
149,25,13,6,1,10,70,5510245,20,2,01:16.7,206.956
150,25,8,6,2,8,70,5528229,16,1,01:16.6,207.224
151,25,15,7,3,6,70,5538495,12,7,01:17.6,204.721
152,25,5,1,4,5,70,5539174,46,3,01:17.1,205.87
153,25,9,2,5,4,70,5540757,16,4,01:17.2,205.768
154,25,17,9,6,3,70,5550549,22,6,01:17.5,204.879
155,25,12,4,7,2,70,5551278,24,10,01:17.8,204.218
156,25,4,4,8,1,70,5553617,39,8,01:17.6,204.525
157,25,14,9,9,0,70,5561266,23,12,01:17.8,204.06
158,25,1,1,10,0,70,5564783,40,5,01:17.5,205.022
159,25,10,7,11,0,70,5567945,45,13,01:17.8,204.013
160,25,20,5,12,0,70,5568310,36,11,01:17.8,204.212
161,25,2,2,13,0,70,5572324,46,9,01:17.7,204.328
162,25,22,11,14,0,69,\N,54,14,01:18.0,203.665
163,25,6,3,15,0,69,\N,60,15,01:18.1,203.443
164,25,3,3,16,0,69,\N,38,17,01:18.3,202.776
165,25,7,5,17,0,69,\N,28,16,01:18.2,203.022
166,25,21,10,18,0,69,\N,53,19,01:18.6,202.141
167,25,16,10,19,0,69,\N,41,18,01:18.5,202.385
168,25,18,11,20,0,16,\N,15,20,01:20.9,196.345
169,26,1,1,1,10,60,5949440,16,3,01:32.8,199.398
170,26,2,2,2,8,60,6018017,21,2,01:32.7,199.609
171,26,22,11,3,6,60,6031713,21,11,01:33.4,198.183
172,26,8,6,4,5,59,\N,18,1,01:32.2,200.842
173,26,5,1,5,4,59,\N,17,5,01:33.1,198.728
174,26,4,4,6,3,59,\N,17,6,01:33.1,198.722
175,26,15,7,7,2,59,\N,22,13,01:33.8,197.292
176,26,6,3,8,1,59,\N,21,14,01:34.3,196.31
177,26,3,3,9,0,59,\N,21,16,01:34.8,195.234
178,26,17,9,10,0,59,\N,17,4,01:33.0,199.109
179,26,7,5,11,0,59,\N,21,9,01:33.4,198.224
180,26,10,7,12,0,59,\N,19,15,01:34.6,195.619
181,26,13,6,13,0,58,\N,19,8,01:33.3,198.458
182,26,9,2,14,0,39,\N,22,12,01:33.5,197.859
183,26,18,11,15,0,38,\N,21,10,01:33.4,198.205
184,26,12,4,16,0,35,\N,21,7,01:33.2,198.573
185,26,21,10,17,0,16,\N,21,17,01:34.9,194.96
186,26,16,10,18,0,10,\N,5,18,01:38.2,188.545
187,26,20,5,19,0,0,\N,\N,\N,\N,\N
188,26,14,9,20,0,0,\N,\N,\N,\N,\N
189,27,1,1,1,10,67,5480874,17,2,01:16.0,216.552
190,27,12,4,2,8,67,5486460,66,9,01:16.9,214.099
191,27,13,6,3,6,67,5490213,19,5,01:16.5,215.241
192,27,2,2,4,5,67,5490699,52,1,01:16.0,216.7
